question,answer
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Amaranthus
variety: Amaranthus
arrival_date: 04/03/2019
min_price: 6000
max_price: 8000
modal_price: 7000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Banana - Green
variety: Banana - Green
arrival_date: 04/03/2019
min_price: 4500
max_price: 5500
modal_price: 5000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Bhindi(Ladies Finger)
variety: Bhindi
arrival_date: 04/03/2019
min_price: 6000
max_price: 8000
modal_price: 7000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Bitter gourd
variety: Other
arrival_date: 04/03/2019
min_price: 6000
max_price: 8000
modal_price: 7000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Black pepper
variety: Other
arrival_date: 04/03/2019
min_price: 110000
max_price: 130000
modal_price: 120000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Bottle gourd
variety: Other
arrival_date: 04/03/2019
min_price: 3000
max_price: 4000
modal_price: 3500
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Brinjal
variety: Other
arrival_date: 04/03/2019
min_price: 7000
max_price: 8000
modal_price: 7500
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Cabbage
variety: Other
arrival_date: 04/03/2019
min_price: 6000
max_price: 7000
modal_price: 6500
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Carrot
variety: Other
arrival_date: 04/03/2019
min_price: 9000
max_price: 11000
modal_price: 10000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Cauliflower
variety: Other
arrival_date: 04/03/2019
min_price: 10000
max_price: 12000
modal_price: 11000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Cluster beans
variety: Cluster Beans
arrival_date: 04/03/2019
min_price: 8000
max_price: 10000
modal_price: 9000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Coconut
variety: Big
arrival_date: 04/03/2019
min_price: 5400
max_price: 6000
modal_price: 5600
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Colacasia
variety: Other
arrival_date: 04/03/2019
min_price: 5000
max_price: 7000
modal_price: 6000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Onion
variety: Other
arrival_date: 04/03/2019
min_price: 2000
max_price: 3500
modal_price: 3000
source_file: csv.csv
"
Give agriculture information,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Potato
variety: Other
arrival_date: 04/03/2019
min_price: 2000
max_price: 3500
modal_price: 3000
source_file: csv.csv
"
Give agriculture information,"state: Andhra Pradesh
district: Chittor
market: Kalikiri
commodity: Tomato
variety: Local
arrival_date: 04/03/2019
min_price: 400
max_price: 960
modal_price: 620
source_file: csv.csv
"
Give agriculture information,"state: Andhra Pradesh
district: Chittor
market: Mulakalacheruvu
commodity: Tomato
variety: Local
arrival_date: 04/03/2019
min_price: 200
max_price: 500
modal_price: 300
source_file: csv.csv
"
Give agriculture information,"state: Andhra Pradesh
district: Chittor
market: Vayalapadu
commodity: Tomato
variety: Local
arrival_date: 04/03/2019
min_price: 400
max_price: 1120
modal_price: 760
source_file: csv.csv
"
Give agriculture information,"state: Andhra Pradesh
district: Kurnool
market: Banaganapalli
commodity: Bengal Gram(Gram)(Whole)
variety: Desi (Whole)
arrival_date: 04/03/2019
min_price: 4500
max_price: 4700
modal_price: 4600
source_file: csv.csv
"
Give agriculture information,"state: Andhra Pradesh
district: Kurnool
market: Banaganapalli
commodity: Jowar(Sorghum)
variety: Jowar ( White)
arrival_date: 04/03/2019
min_price: 1800
max_price: 1950
modal_price: 1900
source_file: csv.csv
"
Give agriculture information,"state: Andhra Pradesh
district: Kurnool
market: Banaganapalli
commodity: Paddy(Dhan)(Common)
variety: Sona Mahsuri
arrival_date: 04/03/2019
min_price: 1900
max_price: 2000
modal_price: 1950
source_file: csv.csv
"
Give agriculture information,"state: Andhra Pradesh
district: West Godavari
market: Attili
commodity: Paddy(Dhan)(Common)
variety: Paddy
arrival_date: 04/03/2019
min_price: 1750
max_price: 1770
modal_price: 1760
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Cachar
market: Cachar
commodity: Lentil (Masur)(Whole)
variety: Masur Dal
arrival_date: 04/03/2019
min_price: 5200
max_price: 7200
modal_price: 7000
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Cachar
market: Cachar
commodity: Rice
variety: Common
arrival_date: 04/03/2019
min_price: 2200
max_price: 2500
modal_price: 2400
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Cachar
market: Cachar
commodity: Rice
variety: Fine
arrival_date: 04/03/2019
min_price: 2500
max_price: 3000
modal_price: 2800
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Bitter gourd
variety: Bitter Gourd
arrival_date: 04/03/2019
min_price: 6000
max_price: 6500
modal_price: 6400
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Bottle gourd
variety: Bottle Gourd
arrival_date: 04/03/2019
min_price: 800
max_price: 900
modal_price: 850
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Brinjal
variety: Round
arrival_date: 04/03/2019
min_price: 800
max_price: 900
modal_price: 850
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cabbage
variety: Cabbage
arrival_date: 04/03/2019
min_price: 300
max_price: 400
modal_price: 350
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Carrot
variety: Carrot
arrival_date: 04/03/2019
min_price: 1000
max_price: 1100
modal_price: 1050
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cauliflower
variety: Local
arrival_date: 04/03/2019
min_price: 1400
max_price: 1500
modal_price: 1450
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cluster beans
variety: Cluster Beans
arrival_date: 04/03/2019
min_price: 4000
max_price: 4200
modal_price: 4100
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cucumbar(Kheera)
variety: Cucumbar
arrival_date: 04/03/2019
min_price: 1500
max_price: 1600
modal_price: 1550
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Field Pea
variety: Field Pea
arrival_date: 04/03/2019
min_price: 2800
max_price: 3000
modal_price: 2900
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: French Beans (Frasbean)
variety: French Beans (Frasbean)
arrival_date: 04/03/2019
min_price: 2200
max_price: 2300
modal_price: 2250
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Green Chilli
variety: Green Chilly
arrival_date: 04/03/2019
min_price: 3500
max_price: 3700
modal_price: 3600
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Knool Khol
variety: Knool Khol
arrival_date: 04/03/2019
min_price: 900
max_price: 1000
modal_price: 950
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Potato
variety: Badshah
arrival_date: 04/03/2019
min_price: 600
max_price: 700
modal_price: 650
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Pumpkin
variety: Pumpkin
arrival_date: 04/03/2019
min_price: 600
max_price: 700
modal_price: 650
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Raddish
variety: Raddish
arrival_date: 04/03/2019
min_price: 800
max_price: 900
modal_price: 850
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Darrang
market: Kharupetia
commodity: Tomato
variety: Hybrid
arrival_date: 04/03/2019
min_price: 1100
max_price: 1200
modal_price: 1150
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Black Gram (Urd Beans)(Whole)
variety: Black Gram (Whole)
arrival_date: 04/03/2019
min_price: 4300
max_price: 4425
modal_price: 4400
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Green Gram (Moong)(Whole)
variety: Green (Whole)
arrival_date: 04/03/2019
min_price: 6300
max_price: 6640
modal_price: 6400
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Jute
variety: TD-5
arrival_date: 04/03/2019
min_price: 2700
max_price: 3700
modal_price: 2800
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Maida Atta
variety: Maida Atta
arrival_date: 04/03/2019
min_price: 2260
max_price: 2550
modal_price: 2370
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Mustard
variety: Mustard
arrival_date: 04/03/2019
min_price: 2300
max_price: 2550
modal_price: 2400
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Rice
variety: Fine
arrival_date: 04/03/2019
min_price: 3500
max_price: 5000
modal_price: 4500
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Rice
variety: Medium
arrival_date: 04/03/2019
min_price: 1800
max_price: 3000
modal_price: 2500
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Dhubri
market: Gauripur
commodity: Wheat Atta
variety: Wheat Atta
arrival_date: 04/03/2019
min_price: 2200
max_price: 2400
modal_price: 2300
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Jorhat
market: Jorhat
commodity: Garlic
variety: Garlic
arrival_date: 04/03/2019
min_price: 3500
max_price: 6000
modal_price: 5000
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Jorhat
market: Jorhat
commodity: Green Gram (Moong)(Whole)
variety: Green (Whole)
arrival_date: 04/03/2019
min_price: 6200
max_price: 6800
modal_price: 6600
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Jorhat
market: Jorhat
commodity: Masur Dal
variety: Masur Dal
arrival_date: 04/03/2019
min_price: 5200
max_price: 6600
modal_price: 6200
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Jorhat
market: Jorhat
commodity: Onion
variety: Onion
arrival_date: 04/03/2019
min_price: 1150
max_price: 1250
modal_price: 1200
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Jorhat
market: Jorhat
commodity: Potato
variety: Potato
arrival_date: 04/03/2019
min_price: 500
max_price: 580
modal_price: 550
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Jorhat
market: Jorhat
commodity: Rice
variety: Common
arrival_date: 04/03/2019
min_price: 2500
max_price: 7000
modal_price: 3200
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Jorhat
market: Jorhat
commodity: Wheat Atta
variety: Wheat Atta
arrival_date: 04/03/2019
min_price: 2600
max_price: 3200
modal_price: 2800
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Bitter gourd
variety: Bitter Gourd
arrival_date: 04/03/2019
min_price: 5000
max_price: 6000
modal_price: 5500
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Brinjal
variety: Brinjal
arrival_date: 04/03/2019
min_price: 1200
max_price: 1400
modal_price: 1300
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Cabbage
variety: Cabbage
arrival_date: 04/03/2019
min_price: 300
max_price: 600
modal_price: 500
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Carrot
variety: Carrot
arrival_date: 04/03/2019
min_price: 700
max_price: 1200
modal_price: 1000
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Cauliflower
variety: Cauliflower
arrival_date: 04/03/2019
min_price: 1800
max_price: 2000
modal_price: 1900
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Cucumbar(Kheera)
variety: Cucumbar
arrival_date: 04/03/2019
min_price: 1600
max_price: 2200
modal_price: 2000
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Garlic
variety: Garlic
arrival_date: 04/03/2019
min_price: 4000
max_price: 5000
modal_price: 4500
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Green Chilli
variety: Green Chilly
arrival_date: 04/03/2019
min_price: 1500
max_price: 3000
modal_price: 1600
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Onion
variety: Onion
arrival_date: 04/03/2019
min_price: 950
max_price: 1150
modal_price: 1100
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Potato
variety: Potato
arrival_date: 04/03/2019
min_price: 600
max_price: 750
modal_price: 700
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Pumpkin
variety: Pumpkin
arrival_date: 04/03/2019
min_price: 800
max_price: 1000
modal_price: 900
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Raddish
variety: Raddish
arrival_date: 04/03/2019
min_price: 1000
max_price: 1200
modal_price: 1100
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Ridgeguard(Tori)
variety: Ridgeguard(Tori)
arrival_date: 04/03/2019
min_price: 4000
max_price: 4200
modal_price: 4100
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Tomato
variety: Tomato
arrival_date: 04/03/2019
min_price: 1400
max_price: 1500
modal_price: 1450
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Arecanut(Betelnut/Supari)
variety: Raw
arrival_date: 04/03/2019
min_price: 2000
max_price: 2200
modal_price: 2200
source_file: csv.csv
"
Give agriculture information,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Arhar (Tur/Red Gram)(Whole)
variety: Other
arrival_date: 04/03/2019
min_price: 5700
max_price: 5850
modal_price: 5850
source_file: csv.csv
"
