question,answer
"What is the price of Amaranthus in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Amaranthus
Variety: Amaranthus
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹6000
Maximum Price: ₹8000
Modal Price: ₹7000"
"What is the price of Banana - Green in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Banana - Green
Variety: Banana - Green
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹4500
Maximum Price: ₹5500
Modal Price: ₹5000"
"What is the price of Bhindi(Ladies Finger) in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Bhindi(Ladies Finger)
Variety: Bhindi
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹6000
Maximum Price: ₹8000
Modal Price: ₹7000"
"What is the price of Bitter gourd in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Bitter gourd
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹6000
Maximum Price: ₹8000
Modal Price: ₹7000"
"What is the price of Black pepper in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Black pepper
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹110000
Maximum Price: ₹130000
Modal Price: ₹120000"
"What is the price of Bottle gourd in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Bottle gourd
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹3000
Maximum Price: ₹4000
Modal Price: ₹3500"
"What is the price of Brinjal in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Brinjal
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹7000
Maximum Price: ₹8000
Modal Price: ₹7500"
"What is the price of Cabbage in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Cabbage
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹6000
Maximum Price: ₹7000
Modal Price: ₹6500"
"What is the price of Carrot in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Carrot
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹9000
Maximum Price: ₹11000
Modal Price: ₹10000"
"What is the price of Cauliflower in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Cauliflower
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹10000
Maximum Price: ₹12000
Modal Price: ₹11000"
"What is the price of Cluster beans in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Cluster beans
Variety: Cluster Beans
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹8000
Maximum Price: ₹10000
Modal Price: ₹9000"
"What is the price of Coconut in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Coconut
Variety: Big
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹5400
Maximum Price: ₹6000
Modal Price: ₹5600"
"What is the price of Colacasia in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Colacasia
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹5000
Maximum Price: ₹7000
Modal Price: ₹6000"
"What is the price of Onion in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Onion
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹2000
Maximum Price: ₹3500
Modal Price: ₹3000"
"What is the price of Potato in Port Blair market of South Andaman, Andaman and Nicobar?","Commodity: Potato
Variety: Other
State: Andaman and Nicobar
District: South Andaman
Market: Port Blair
Arrival Date: 04/03/2019
Minimum Price: ₹2000
Maximum Price: ₹3500
Modal Price: ₹3000"
"What is the price of Tomato in Kalikiri market of Chittor, Andhra Pradesh?","Commodity: Tomato
Variety: Local
State: Andhra Pradesh
District: Chittor
Market: Kalikiri
Arrival Date: 04/03/2019
Minimum Price: ₹400
Maximum Price: ₹960
Modal Price: ₹620"
"What is the price of Tomato in Mulakalacheruvu market of Chittor, Andhra Pradesh?","Commodity: Tomato
Variety: Local
State: Andhra Pradesh
District: Chittor
Market: Mulakalacheruvu
Arrival Date: 04/03/2019
Minimum Price: ₹200
Maximum Price: ₹500
Modal Price: ₹300"
