question,answer
What is the price of Amaranthus in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Amaranthus
variety: Amaranthus
arrival_date: 04/03/2019
min_price: 6000
max_price: 8000
modal_price: 7000
source_file: csv.csv
"
What is the price of Banana - Green in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Banana - Green
variety: Banana - Green
arrival_date: 04/03/2019
min_price: 4500
max_price: 5500
modal_price: 5000
source_file: csv.csv
"
What is the price of Bhindi(Ladies Finger) in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Bhindi(Ladies Finger)
variety: Bhindi
arrival_date: 04/03/2019
min_price: 6000
max_price: 8000
modal_price: 7000
source_file: csv.csv
"
What is the price of Bitter gourd in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Bitter gourd
variety: Other
arrival_date: 04/03/2019
min_price: 6000
max_price: 8000
modal_price: 7000
source_file: csv.csv
"
What is the price of Black pepper in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Black pepper
variety: Other
arrival_date: 04/03/2019
min_price: 110000
max_price: 130000
modal_price: 120000
source_file: csv.csv
"
What is the price of Bottle gourd in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Bottle gourd
variety: Other
arrival_date: 04/03/2019
min_price: 3000
max_price: 4000
modal_price: 3500
source_file: csv.csv
"
What is the price of Brinjal in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Brinjal
variety: Other
arrival_date: 04/03/2019
min_price: 7000
max_price: 8000
modal_price: 7500
source_file: csv.csv
"
What is the price of Cabbage in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Cabbage
variety: Other
arrival_date: 04/03/2019
min_price: 6000
max_price: 7000
modal_price: 6500
source_file: csv.csv
"
What is the price of Carrot in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Carrot
variety: Other
arrival_date: 04/03/2019
min_price: 9000
max_price: 11000
modal_price: 10000
source_file: csv.csv
"
What is the price of Cauliflower in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Cauliflower
variety: Other
arrival_date: 04/03/2019
min_price: 10000
max_price: 12000
modal_price: 11000
source_file: csv.csv
"
What is the price of Cluster beans in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Cluster beans
variety: Cluster Beans
arrival_date: 04/03/2019
min_price: 8000
max_price: 10000
modal_price: 9000
source_file: csv.csv
"
What is the price of Coconut in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Coconut
variety: Big
arrival_date: 04/03/2019
min_price: 5400
max_price: 6000
modal_price: 5600
source_file: csv.csv
"
What is the price of Colacasia in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Colacasia
variety: Other
arrival_date: 04/03/2019
min_price: 5000
max_price: 7000
modal_price: 6000
source_file: csv.csv
"
What is the price of Onion in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Onion
variety: Other
arrival_date: 04/03/2019
min_price: 2000
max_price: 3500
modal_price: 3000
source_file: csv.csv
"
What is the price of Potato in Port Blair market?,"state: Andaman and Nicobar
district: South Andaman
market: Port Blair
commodity: Potato
variety: Other
arrival_date: 04/03/2019
min_price: 2000
max_price: 3500
modal_price: 3000
source_file: csv.csv
"
What is the price of Tomato in Kalikiri market?,"state: Andhra Pradesh
district: Chittor
market: Kalikiri
commodity: Tomato
variety: Local
arrival_date: 04/03/2019
min_price: 400
max_price: 960
modal_price: 620
source_file: csv.csv
"
What is the price of Tomato in Mulakalacheruvu market?,"state: Andhra Pradesh
district: Chittor
market: Mulakalacheruvu
commodity: Tomato
variety: Local
arrival_date: 04/03/2019
min_price: 200
max_price: 500
modal_price: 300
source_file: csv.csv
"
What is the price of Tomato in Vayalapadu market?,"state: Andhra Pradesh
district: Chittor
market: Vayalapadu
commodity: Tomato
variety: Local
arrival_date: 04/03/2019
min_price: 400
max_price: 1120
modal_price: 760
source_file: csv.csv
"
What is the price of Bengal Gram(Gram)(Whole) in Banaganapalli market?,"state: Andhra Pradesh
district: Kurnool
market: Banaganapalli
commodity: Bengal Gram(Gram)(Whole)
variety: Desi (Whole)
arrival_date: 04/03/2019
min_price: 4500
max_price: 4700
modal_price: 4600
source_file: csv.csv
"
What is the price of Jowar(Sorghum) in Banaganapalli market?,"state: Andhra Pradesh
district: Kurnool
market: Banaganapalli
commodity: Jowar(Sorghum)
variety: Jowar ( White)
arrival_date: 04/03/2019
min_price: 1800
max_price: 1950
modal_price: 1900
source_file: csv.csv
"
What is the price of Paddy(Dhan)(Common) in Banaganapalli market?,"state: Andhra Pradesh
district: Kurnool
market: Banaganapalli
commodity: Paddy(Dhan)(Common)
variety: Sona Mahsuri
arrival_date: 04/03/2019
min_price: 1900
max_price: 2000
modal_price: 1950
source_file: csv.csv
"
What is the price of Paddy(Dhan)(Common) in Attili market?,"state: Andhra Pradesh
district: West Godavari
market: Attili
commodity: Paddy(Dhan)(Common)
variety: Paddy
arrival_date: 04/03/2019
min_price: 1750
max_price: 1770
modal_price: 1760
source_file: csv.csv
"
What is the price of Lentil (Masur)(Whole) in Cachar market?,"state: Assam
district: Cachar
market: Cachar
commodity: Lentil (Masur)(Whole)
variety: Masur Dal
arrival_date: 04/03/2019
min_price: 5200
max_price: 7200
modal_price: 7000
source_file: csv.csv
"
